Index,Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels
84,"LG 65"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED65C2PUA) - 2022 - Dark Titan Silver - Open Box",(0 Reviews),"$1,999.99",$999.95,LG,OLED,65,4K
85,"Samsung 55"" 4K UHD HDR QLED Tizen Smart TV (QN55Q75AAFXZC) - Only at Best Buy",(18 Reviews),NA,15.5,Samsung,LED,55,4K
86,"Open Box - Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50TU7000FXZC) - Titan Grey",(4 Reviews),$439.99,15.5,Samsung,LED,50,4K
87,"LG 48"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED48C2PUA) - 2022 - Dark Titan Silver",(2642 Reviews),"$1,699.99","$5,799.99",LG,OLED,48,4K
88,"Samsung 77"" 4K UHD HDR OLED Tizen Smart TV(QN77S95CAFXZC) - 2023 - Titan Black",(75 Reviews),NA,15.5,Samsung,OLED,77,4K
89,"LG 86"" 4K UHD HDR LED webOS Smart TV (86UQ7590PUD) - 2022 - Dark Iron Grey",(15 Reviews),"$1,799.99",NA,LG,LED,86,4K
90,"TCL 65"" S-Series 4K UHD HDR LED Smart Google TV (65S450G-CA) - 2023",(0 Reviews),$599.99,12.2,NA,LED,65,4K
91,"Sony X80K 43"" 4K UHD HDR LED Smart Google TV (KD43X80K) - 2022",(434 Reviews),$749.99,$80,Sony,LED,43,4K
92,"Sony W830K 32"" 720p HD HDR LED Smart Google TV (KD32W830K) - 2022",(66 Reviews),$399.99,15.5,Sony,LED,32,720p
93,"LG 75"" 4K UHD HDR LED webOS Smart TV (75UQ7070ZUD) - 2022 - Grey - Only at Best Buy",(842 Reviews),"$1,399.99",NA,LG,LED,75,4K
94,"TCL 40"" S-Series 1080p HD HDR LED Smart Google TV (40S350G-CA) - 2023",(0 Reviews),$269.99,NA,NA,LED,40,1080p
95,"Amazon Fire TV 4-Series 55"" 4K UHD HDR LED Smart TV (B08T6H1RQD) - 2021",(22 Reviews),$499.99,NA,Amazon fire TV,LED,55,4K
96,"TCL 3-Series 32"" 1080p HD LED Roku Smart TV (32S359-CA) - 2022",(10 Reviews),$199.97,$140,NA,LED,32,1080p
97,"Open Box - Samsung 70"" 4K UHD HDR LED Tizen OS Smart TV (UN70TU6985FXZC) - 2020",(3 Reviews),$729.99,15.5,Samsung,LED,70,4K
