description,reviews,Price,Discount,Brand,TV Type,TV Size,TV Pixels
"LG 75"" 4K UHD HDR QNED webOS Smart TV (75QNED80UQA) - 2022 - Dark Titan Silver/Ashed Blue",(586 Reviews),$1799.99,12.20,LG,QNED,75,4K
"Toshiba 43"" 4K UHD HDR LED Smart TV (43C350KC) - Fire TV Edition - 2021 - Only at Best Buy",(11 Reviews),$529.99,$100,Toshiba,LED,43,4K
"Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75CU7000FXZC) - 2023 - Titan Grey",(156 Reviews),$1399.99,7.50,Samsung,LED,75,4K
"Insignia 24"" 1080p FHD LED Smart TV (NS-24F202CA23) - Fire TV Edition - 2022 - Only at Best Buy",(436 Reviews),$299.99,Not sold online,Insignia,LED,24,1080p
"Samsung 98"" 8K UHD HDR QLED Tizen Smart TV (QN98Q900RBFXZC)",(161 Reviews),$99999.99,"$3,000",Samsung,LED,98,
"Sony BRAVIA XR 100"" 4K UHD HDR LED Google Smart TV (XR100X92) - 2021",(8 Reviews),$16999.99,Available to ship,Sony,LED,100,4K
"Samsung The Frame 32"" 1080p HD HDR QLED Tizen Smart TV (QN32LS03BBFXZC) - 2022 - Charcoal Black",(8 Reviews),$699.95,$100,Samsung,LED,32,1080p
"Samsung 65"" 4K UHD HDR QLED Smart TV (QN65Q80CAFXZC) - 2023 - Titan Black",(23 Reviews),$1699.99,15.50,Samsung,LED,65,4K
"Sony BRAVIA XR X90J 50"" 4K UHD HDR LED Smart Google TV (XR50X90J) - 2021",(4975 Reviews),$1199.99,15.50,Sony,LED,50,4K
"Sony X85K 75"" 4K UHD HDR LED Smart Google TV (KD75X85K) - 2022",(242 Reviews),$1899.99,15.50,Sony,LED,75,4K
"LG 77"" G2 4K UHD HDR OLED webOS Evo Gallery Smart TV (OLED77G2PUA) - 2022 - Satin Silver",(190 Reviews),$6999.99,12.20,LG,OLED,77,4K
"Samsung 43"" 4K UHD HDR QLED Smart TV (QN43Q60CAFXZC) - 2023 - Titan Grey",(105 Reviews),$749.99,12.20,Samsung,LED,43,4K
